test1
rgb,0.022,0.018,0.013,0.019,0.02
kinectsp,0.022,0.016,0.013,0.017,0.018
kinectsp_decoder,0.021,0.016,0.013,0.017,0.017
kinectsp_encoder,0.022,0.016,0.013,0.018,0.018
kinectsp_view2pattern,0.034,0.03,0.027,0.028,0.031
kinectsp_view2pattern_loss,0.034,0.029,0.027,0.022,0.031

test2(only on test dataset)
rgb,0.015,0.013,0.021,0.015,0.011,0.022,0.016,0.015
kinectsp,0.014,0.011,0.019,0.014,0.01,0.021,0.013,0.014
kinectsp_decoder,0.014,0.011,0.019,0.013,0.01,0.021,0.013,0.014
kinectsp_encoder,0.015,0.011,0.019,0.014,0.01,0.021,0.013,0.014
kinectsp_view2pattern,0.027,0.017,0.028,0.022,0.02,0.038,0.025,0.025
kinectsp_view2pattern_loss,0.026,0.018,0.028,0.023,0.02,0.034,0.027,0.023
